Neighborhood,Year,Alarm,Fire,Potentially Life-Threatening,Non Life-threatening
Oceanview/Merced/Ingleside,2013,5.069124424,8.066666667,6.612618297,9.132376396
North Beach,2016,4.43956044,6.603053435,6.617552622,11.11062271
Mission Bay,2014,5.67260274,25.66666667,6.619007569,11
Excelsior,2019,5.459802539,8.368852459,6.619986169,10
Seacliff,2015,5.395833333,12,6.626760563,10.90666667
Bernal Heights,2014,5.012718601,8.052941176,6.628556375,10
Oceanview/Merced/Ingleside,2015,5.369519833,8.478632479,6.655298417,10.10857909
Portola,2012,4.755980861,20.81456954,6.656038647,10
Glen Park,2018,5.192439863,6.217391304,6.662698413,9.032019704
Oceanview/Merced/Ingleside,2017,5.001934236,7.834645669,6.671737858,9.414322251
Glen Park,2016,5.351170569,5.95,6.688811189,9.580524345
Excelsior,2017,5.328534031,10.39370079,6.69085282,10
West of Twin Peaks,2015,5.281323877,5.762962963,6.690939881,9.193601313
Outer Mission,2014,5.006144393,7.331081081,6.69770329,10
Oceanview/Merced/Ingleside,2019,5.33559322,7.202247191,6.700895522,10.00769231
Seacliff,2012,5.310344828,12.02380952,6.701923077,8.473684211
Sunset/Parkside,2018,5.315857605,7.533568905,6.710186833,10
Portola,2019,5.056680162,6.864864865,6.72485453,10.31105048
Portola,2014,5.282527881,6.931034483,6.729525862,10.14794008
Bayview Hunters Point,2017,5.475336323,12.23272727,6.747271865,10
Oceanview/Merced/Ingleside,2016,5.186861314,6.184210526,6.758215962,9.94653706
Portola,2016,5.38,6.603773585,6.769667478,9.996515679
Bayview Hunters Point,2012,5.24795082,13.01630435,6.776062446,10
Sunset/Parkside,2015,5.351885099,6.860182371,6.820278413,10
Sunset/Parkside,2016,5.2,8.829268293,6.830822213,10
Twin Peaks,2018,6.126,5.842105263,6.878248974,10.33571429
West of Twin Peaks,2014,5.303777949,6.708860759,6.881591119,10
Glen Park,2013,5.365671642,6.956521739,6.903645833,8.706185567
Lincoln Park,2013,5.837837838,7.88,6.906666667,9.517241379
Glen Park,2017,5.479108635,9.625,6.915413534,9.840625
Portola,2015,4.933920705,6.2,6.928172386,10.1027027
Lincoln Park,2017,5.942307692,12.10526316,6.931034483,9.209302326
Excelsior,2015,5.032163743,8.150289017,6.939874585,10
Bayview Hunters Point,2018,5.666820489,6.978695073,6.94124099,11
Excelsior,2014,5.042335766,6.873239437,6.943667763,9.783231084
Seacliff,2016,5.654545455,11.50819672,6.964285714,9.581081081
Bayview Hunters Point,2019,5.911538462,7.382932166,6.965567981,11
Twin Peaks,2017,6.512676056,8.6875,6.978779841,8.968674699
Bayview Hunters Point,2016,5.385912698,6.37810219,6.982537475,11
Glen Park,2015,5.345238095,7.75,6.993963783,9.624031008
Excelsior,2016,4.917847025,6.949494949,7,10.28881469
Seacliff,2018,5.652406417,4.666666667,7.007352941,9.520833333
Sunset/Parkside,2019,5.326804701,7.809230769,7.020377195,10
Sunset/Parkside,2014,5.681188119,9.065217391,7.040291373,10
Bayview Hunters Point,2015,5.450273224,7.733443709,7.055573148,11
Twin Peaks,2013,6.220551378,12.38709677,7.059566787,9.946619217
Twin Peaks,2016,6.141732283,6.1875,7.195876289,9.625
Oceanview/Merced/Ingleside,2014,5.117870722,11.44094488,7.229540918,10
Seacliff,2014,4.96460177,20.54761905,7.234482759,9.85106383
Lakeshore,2013,5.719822813,9.077319588,7.253731343,10
Twin Peaks,2019,6.086956522,8.177777778,7.25862069,9.961832061
Bayview Hunters Point,2014,5.654467169,8.001246883,7.267612524,11
Presidio,2013,8.424,10.71538462,7.288135593,11
Lincoln Park,2016,6.41025641,10.38709677,7.3,9.285714286
McLaren Park,2013,7.11627907,7.375,7.3,9.305084746
Twin Peaks,2012,6.067524116,7.333333333,7.422258592,9.889423077
Visitacion Valley,2012,6.960244648,7.348387097,7.503633721,12
Lincoln Park,2019,7.583333333,9.237288136,7.521126761,13.23333333
Twin Peaks,2015,6.597911227,6.222222222,7.551166966,10.13602941
Twin Peaks,2014,6.18972332,12.97142857,7.556149733,10.49420849
McLaren Park,2018,5.674157303,7.423076923,7.55952381,9.337662338
Presidio,2017,6.150170648,12.97474748,7.574534161,10
McLaren Park,2012,7.042857143,9.75,7.592592593,11.13793103
McLaren Park,2016,6.621621622,8,7.672727273,11.62295082
Presidio,2019,6.037313433,10.7768595,7.697749196,11
Glen Park,2014,5.653846154,9.016393443,7.710955711,9.364754098
Visitacion Valley,2018,6.584577114,8.517006803,7.73465704,12
Presidio,2012,5.697095436,9.505747126,7.755102041,11.44055944
Visitacion Valley,2013,6.35483871,8.385826772,7.763009404,11
McLaren Park,2019,6.336283186,7.941176471,7.806122449,10.67123288
Lakeshore,2017,5.695159629,10.13733906,7.818246614,11
Lakeshore,2012,5.706559264,26.49307479,7.852509653,11
Presidio,2018,6.24137931,13.15591398,7.86377709,12
Lakeshore,2016,5.759176365,10.26666667,7.867370008,11
Glen Park,2012,5.414285714,7.203125,7.868708972,9.880208333
Visitacion Valley,2019,6.680473373,11.7704918,7.886986301,12
Lakeshore,2018,6.098564593,10.14705882,7.949221395,11
Visitacion Valley,2015,6.771349862,7.881355932,7.973601508,11.50560224
McLaren Park,2014,6.90625,8.166666667,7.988764045,12.82352941
Lakeshore,2015,5.872042068,10.07042254,8.005014327,11
McLaren Park,2015,10.84507042,8.2,8.022727273,9.538461538
Visitacion Valley,2014,6.66992665,9.550458716,8.029119788,12
Lakeshore,2019,5.898042414,10.6460177,8.04849601,11
Visitacion Valley,2017,6.647783251,7.394736842,8.096341463,11.83333333
Presidio,2015,5.968609865,10.5,8.118380062,11
Lincoln Park,2012,5.463768116,6.333333333,8.181818182,9.583333333
Visitacion Valley,2016,6.511568123,8.746478873,8.183868763,11.96153846
Lakeshore,2014,5.74245283,9.0375,8.319215686,11
McLaren Park,2017,7.567901235,8.130434783,8.384615385,9.411764706
Presidio,2014,6.843065693,12.17131474,8.446153846,10
Presidio,2016,6.260869565,10.936,8.539007092,12
Treasure Island,2013,6.43373494,14.51923077,8.873873874,10
Treasure Island,2018,5.08988764,12.04716981,9.081441923,12
Treasure Island,2019,5.544642857,11.38202247,9.283861671,11
Treasure Island,2017,7.15,9.270491803,9.445635528,12
Treasure Island,2016,6.391089109,10.52413793,9.579411765,12
Treasure Island,2015,6.593137255,9.342105263,9.604436229,12
Treasure Island,2012,23.40397351,10.67123288,9.911816578,12.57230769
Treasure Island,2014,7.308219178,9.795454545,9.927046263,12
